Text,Language,cleaned_text
"Its most prominent climatic features are its two large polar regions, two relatively narrow temperate zones, and a wide equatorial tropical to subtropical region.",English,its most prominent climatic features are its two large polar regions two relatively narrow temperate zones and a wide equatorial tropical to subtropical region
"[7] Precipitation varies widely with location, from several metres of water per year to less than a millimetre.",English,precipitation varies widely with location from several metres of water per year to less than a millimetre
71 percent of the Earth's surface is covered by salt-water oceans.,English,percent of the earths surface is covered by saltwater oceans
"The remainder consists of continents and islands, with most of the inhabited land in the Northern Hemisphere.",English,the remainder consists of continents and islands with most of the inhabited land in the northern hemisphere
Earth has evolved through geological and biological processes that have left traces of the original conditions.,English,earth has evolved through geological and biological processes that have left traces of the original conditions
The outer surface is divided into several gradually migrating tectonic plates.,English,the outer surface is divided into several gradually migrating tectonic plates
"The interior remains active, with a thick layer of plastic mantle and an iron-filled core that generates a magnetic field.",English,the interior remains active with a thick layer of plastic mantle and an ironfilled core that generates a magnetic field
"This iron core is composed of a solid inner phase, and a fluid outer phase.",English,this iron core is composed of a solid inner phase and a fluid outer phase
"Convective motion in the core generates electric currents through dynamo action, and these, in turn, generate the geomagnetic field.",English,convective motion in the core generates electric currents through dynamo action and these in turn generate the geomagnetic field
"The atmospheric conditions have been significantly altered from the original conditions by the presence of life-forms,[8] which create an ecological balance that stabilizes the surface conditions.",English,the atmospheric conditions have been significantly altered from the original conditions by the presence of lifeforms which create an ecological balance that stabilizes the surface conditions
"Despite the wide regional variations in climate by latitude and other geographic factors, the long-term average global climate is quite stable during interglacial periods,[9] and variations of a degree or two of average global temperature have historically had major effects on the ecological balance, and on the actual geography of the Earth.",English,despite the wide regional variations in climate by latitude and other geographic factors the longterm average global climate is quite stable during interglacial periods and variations of a degree or two of average global temperature have historically had major effects on the ecological balance and on the actual geography of the earth
[10][11] Geology is the science and study of the solid and liquid matter that constitutes the earth.,English,geology is the science and study of the solid and liquid matter that constitutes the earth
"The field of geology encompasses the study of the composition, structure, physical properties, dynamics, and history of Earth materials, and the processes by which they are formed, moved, and changed.",English,the field of geology encompasses the study of the composition structure physical properties dynamics and history of earth materials and the processes by which they are formed moved and changed
"The field is a major academic discipline, and is also important for mineral and hydrocarbon extraction, knowledge about and mitigation of natural hazards, some Geotechnical engineering fields, and understanding past climates and environments.",English,the field is a major academic discipline and is also important for mineral and hydrocarbon extraction knowledge about and mitigation of natural hazards some geotechnical engineering fields and understanding past climates and environments
The geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations.,English,the geology of an area evolves through time as rock units are deposited and inserted and deformational processes change their shapes and locations
Rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock.,English,rock units are first emplaced either by deposition onto the surface or intrude into the overlying rock
"Deposition can occur when sediments settle onto the surface of the Earth and later lithify into sedimentary rock, or when as volcanic material such as volcanic ash or lava flows, blanket the surface.",English,deposition can occur when sediments settle onto the surface of the earth and later lithify into sedimentary rock or when as volcanic material such as volcanic ash or lava flows blanket the surface
"Igneous intrusions such as batholiths, laccoliths, dikes, and sills, push upwards into the overlying rock, and crystallize as they intrude.",English,igneous intrusions such as batholiths laccoliths dikes and sills push upwards into the overlying rock and crystallize as they intrude
"After the initial sequence of rocks has been deposited, the rock units can be deformed and/or metamorphosed.",English,after the initial sequence of rocks has been deposited the rock units can be deformed andor metamorphosed
"Deformation typically occurs as a result of horizontal shortening, horizontal extension, or side-to-side (strike-slip) motion.",English,deformation typically occurs as a result of horizontal shortening horizontal extension or sidetoside strikeslip motion
"These structural regimes broadly relate to convergent boundaries, divergent boundaries, and transform boundaries, respectively, between tectonic plates.",English,these structural regimes broadly relate to convergent boundaries divergent boundaries and transform boundaries respectively between tectonic plates
"Earth is estimated to have formed 4.54 billion years ago from the solar nebula, along with the Sun and other planets.",English,earth is estimated to have formed billion years ago from the solar nebula along with the sun and other planets
[12] The moon formed roughly 20 million years later.,English,the moon formed roughly million years later
"Initially molten, the outer layer of the Earth cooled, resulting in the solid crust.",English,initially molten the outer layer of the earth cooled resulting in the solid crust
Outgassing and volcanic activity produced the primordial atmosphere.,English,outgassing and volcanic activity produced the primordial atmosphere
"Condensing water vapor, most or all of which came from ice delivered by comets, produced the oceans and other water sources.",English,condensing water vapor most or all of which came from ice delivered by comets produced the oceans and other water sources
[13] The highly energetic chemistry is believed to have produced a self-replicating molecule around 4 billion years ago.,English,the highly energetic chemistry is believed to have produced a selfreplicating molecule around billion years ago
"[14] Continents formed, then broke up and reformed as the surface of Earth reshaped over hundreds of millions of years, occasionally combining to make a supercontinent.",English,continents formed then broke up and reformed as the surface of earth reshaped over hundreds of millions of years occasionally combining to make a supercontinent
"Roughly 750 million years ago, the earliest known supercontinent Rodinia, began to break apart.",English,roughly million years ago the earliest known supercontinent rodinia began to break apart
"The continents later recombined to form Pannotia which broke apart about 540 million years ago, then finally Pangaea, which broke apart about 180 million years ago.",English,the continents later recombined to form pannotia which broke apart about million years ago then finally pangaea which broke apart about million years ago
"[16] During the Neoproterozoic era, freezing temperatures covered much of the Earth in glaciers and ice sheets.",English,during the neoproterozoic era freezing temperatures covered much of the earth in glaciers and ice sheets
"This hypothesis has been termed the ""Snowball Earth"", and it is of particular interest as it precedes the Cambrian explosion in which multicellular life forms began to proliferate about 530–540 million years ago.",English,this hypothesis has been termed the snowball earth and it is of particular interest as it precedes the cambrian explosion in which multicellular life forms began to proliferate about million years ago
[17] Since the Cambrian explosion there have been five distinctly identifiable mass extinctions.,English,since the cambrian explosion there have been five distinctly identifiable mass extinctions
"[18] The last mass extinction occurred some 66 million years ago, when a meteorite collision probably triggered the extinction of the non-avian dinosaurs and other large reptiles, but spared small animals such as mammals.",English,the last mass extinction occurred some million years ago when a meteorite collision probably triggered the extinction of the nonavian dinosaurs and other large reptiles but spared small animals such as mammals
"Over the past 66 million years, mammalian life diversified.",English,over the past million years mammalian life diversified
"[19] Several million years ago, a species of small African ape gained the ability to stand upright.",English,several million years ago a species of small african ape gained the ability to stand upright
"[15] The subsequent advent of human life, and the development of agriculture and further civilization allowed humans to affect the Earth more rapidly than any previous life form, affecting both the nature and quantity of other organisms as well as global climate.",English,the subsequent advent of human life and the development of agriculture and further civilization allowed humans to affect the earth more rapidly than any previous life form affecting both the nature and quantity of other organisms as well as global climate
"By comparison, the Great Oxygenation Event, produced by the proliferation of algae during the Siderian period, required about 300 million years to culminate.",English,by comparison the great oxygenation event produced by the proliferation of algae during the siderian period required about million years to culminate
"The present era is classified as part of a mass extinction event, the Holocene extinction event, the fastest ever to have occurred.",English,the present era is classified as part of a mass extinction event the holocene extinction event the fastest ever to have occurred
"[20][21] Some, such as E. O. Wilson of Harvard University, predict that human destruction of the biosphere could cause the extinction of one-half of all species in the next 100 years.",English,some such as e o wilson of harvard university predict that human destruction of the biosphere could cause the extinction of onehalf of all species in the next years
"[22] The extent of the current extinction event is still being researched, debated and calculated by biologists.",English,the extent of the current extinction event is still being researched debated and calculated by biologists
[23][24][25] The Earth's atmosphere is a key factor in sustaining the ecosystem.,English,the earths atmosphere is a key factor in sustaining the ecosystem
The thin layer of gases that envelops the Earth is held in place by gravity.,English,the thin layer of gases that envelops the earth is held in place by gravity
"Air is mostly nitrogen, oxygen, water vapor, with much smaller amounts of carbon dioxide, argon, etc.",English,air is mostly nitrogen oxygen water vapor with much smaller amounts of carbon dioxide argon etc
The atmospheric pressure declines steadily with altitude.,English,the atmospheric pressure declines steadily with altitude
The ozone layer plays an important role in depleting the amount of ultraviolet (UV) radiation that reaches the surface.,English,the ozone layer plays an important role in depleting the amount of ultraviolet uv radiation that reaches the surface
"As DNA is readily damaged by UV light, this serves to protect life at the surface.",English,as dna is readily damaged by uv light this serves to protect life at the surface
"The atmosphere also retains heat during the night, thereby reducing the daily temperature extremes.",English,the atmosphere also retains heat during the night thereby reducing the daily temperature extremes
"Terrestrial weather occurs almost exclusively in the lower part of the atmosphere, and serves as a convective system for redistributing heat.",English,terrestrial weather occurs almost exclusively in the lower part of the atmosphere and serves as a convective system for redistributing heat
"[26] Ocean currents are another important factor in determining climate, particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions.",English,ocean currents are another important factor in determining climate particularly the major underwater thermohaline circulation which distributes heat energy from the equatorial oceans to the polar regions
These currents help to moderate the differences in temperature between winter and summer in the temperate zones.,English,these currents help to moderate the differences in temperature between winter and summer in the temperate zones
"Also, without the redistributions of heat energy by the ocean currents and atmosphere, the tropics would be much hotter, and the polar regions much colder.",English,also without the redistributions of heat energy by the ocean currents and atmosphere the tropics would be much hotter and the polar regions much colder
Weather can have both beneficial and harmful effects.,English,weather can have both beneficial and harmful effects
"Extremes in weather, such as tornadoes or hurricanes and cyclones, can expend large amounts of energy along their paths, and produce devastation.",English,extremes in weather such as tornadoes or hurricanes and cyclones can expend large amounts of energy along their paths and produce devastation
"Surface vegetation has evolved a dependence on the seasonal variation of the weather, and sudden changes lasting only a few years can have a dramatic effect, both on the vegetation and on the animals which depend on its growth for their food.",English,surface vegetation has evolved a dependence on the seasonal variation of the weather and sudden changes lasting only a few years can have a dramatic effect both on the vegetation and on the animals which depend on its growth for their food
Climate is a measure of the long-term trends in the weather.,English,climate is a measure of the longterm trends in the weather
"Various factors are known to influence the climate, including ocean currents, surface albedo, greenhouse gases, variations in the solar luminosity, and changes to the Earth's orbit.",English,various factors are known to influence the climate including ocean currents surface albedo greenhouse gases variations in the solar luminosity and changes to the earths orbit
"Based on historical records, the Earth is known to have undergone drastic climate changes in the past, including ice ages.",English,based on historical records the earth is known to have undergone drastic climate changes in the past including ice ages
"The climate of a region depends on a number of factors, especially latitude.",English,the climate of a region depends on a number of factors especially latitude
A latitudinal band of the surface with similar climatic attributes forms a climate region.,English,a latitudinal band of the surface with similar climatic attributes forms a climate region
"There are a number of such regions, ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes.",English,there are a number of such regions ranging from the tropical climate at the equator to the polar climate in the northern and southern extremes
"Weather is also influenced by the seasons, which result from the Earth's axis being tilted relative to its orbital plane.",English,weather is also influenced by the seasons which result from the earths axis being tilted relative to its orbital plane
"Thus, at any given time during the summer or winter, one part of the Earth is more directly exposed to the rays of the sun.",English,thus at any given time during the summer or winter one part of the earth is more directly exposed to the rays of the sun
This exposure alternates as the Earth revolves in its orbit.,English,this exposure alternates as the earth revolves in its orbit
"At any given time, regardless of season, the northern and southern hemispheres experience opposite seasons.",English,at any given time regardless of season the northern and southern hemispheres experience opposite seasons
"Weather is a chaotic system that is readily modified by small changes to the environment, so accurate weather forecasting is limited to only a few days.",English,weather is a chaotic system that is readily modified by small changes to the environment so accurate weather forecasting is limited to only a few days
"[27] Overall, two things are happening worldwide: (1) temperature is increasing on the average; and (2) regional climates have been undergoing noticeable changes.",English,overall two things are happening worldwide temperature is increasing on the average and regional climates have been undergoing noticeable changes
[28] Water is a chemical substance that is composed of hydrogen and oxygen (H2O) and is vital for all known forms of life.,English,water is a chemical substance that is composed of hydrogen and oxygen ho and is vital for all known forms of life
"[29] In typical usage, water refers only to its liquid form or state, but the substance also has a solid state, ice, and a gaseous state, water vapor, or steam.",English,in typical usage water refers only to its liquid form or state but the substance also has a solid state ice and a gaseous state water vapor or steam
Water covers 71% of the Earth's surface.,English,water covers of the earths surface
"[30] On Earth, it is found mostly in oceans and other large bodies of water, with 1.6% of water below ground in aquifers and 0.001% in the air as vapor, clouds, and precipitation.",English,on earth it is found mostly in oceans and other large bodies of water with of water below ground in aquifers and in the air as vapor clouds and precipitation
"[31][32] Oceans hold 97% of surface water, glaciers, and polar ice caps 2.4%, and other land surface water such as rivers, lakes, and ponds 0.6%.",English,oceans hold of surface water glaciers and polar ice caps and other land surface water such as rivers lakes and ponds
"Additionally, a minute amount of the Earth's water is contained within biological bodies and manufactured products.",English,additionally a minute amount of the earths water is contained within biological bodies and manufactured products
"An ocean is a major body of saline water, and a principal component of the hydrosphere.",English,an ocean is a major body of saline water and a principal component of the hydrosphere
"Approximately 71% of the Earth's surface (an area of some 361 million square kilometers) is covered by ocean, a continuous body of water that is customarily divided into several principal oceans and smaller seas.",English,approximately of the earths surface an area of some million square kilometers is covered by ocean a continuous body of water that is customarily divided into several principal oceans and smaller seas
"More than half of this area is over 3,000 meters (9,800 feet) deep.",English,more than half of this area is over meters feet deep
"Average oceanic salinity is around 35 parts per thousand (ppt) (3.5%), and nearly all seawater has a salinity in the range of 30 to 38 ppt.",English,average oceanic salinity is around parts per thousand ppt and nearly all seawater has a salinity in the range of to ppt
"Though generally recognized as several 'separate' oceans, these waters comprise one global, interconnected body of salt water often referred to as the World Ocean or global ocean.",English,though generally recognized as several separate oceans these waters comprise one global interconnected body of salt water often referred to as the world ocean or global ocean
[33][34] This concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography.,English,this concept of a global ocean as a continuous body of water with relatively free interchange among its parts is of fundamental importance to oceanography
"[35] The major oceanic divisions are defined in part by the continents, various archipelagos, and other criteria: these divisions are (in descending order of size) the Pacific Ocean, the Atlantic Ocean, the Indian Ocean, the Southern Ocean, and the Arctic Ocean.",English,the major oceanic divisions are defined in part by the continents various archipelagos and other criteria these divisions are in descending order of size the pacific ocean the atlantic ocean the indian ocean the southern ocean and the arctic ocean
"Smaller regions of the oceans are called seas, gulfs, bays and other names.",English,smaller regions of the oceans are called seas gulfs bays and other names
"There are also salt lakes, which are smaller bodies of landlocked saltwater that are not interconnected with the World Ocean.",English,there are also salt lakes which are smaller bodies of landlocked saltwater that are not interconnected with the world ocean
Two notable examples of salt lakes are the Aral Sea and the Great Salt Lake.,English,two notable examples of salt lakes are the aral sea and the great salt lake
"A lake (from Latin word lacus) is a terrain feature (or physical feature), a body of liquid on the surface of a world that is localized to the bottom of basin (another type of landform or terrain feature; that is, it is not global) and moves slowly if it moves at all.",English,a lake from latin word lacus is a terrain feature or physical feature a body of liquid on the surface of a world that is localized to the bottom of basin another type of landform or terrain feature that is it is not global and moves slowly if it moves at all
"On Earth, a body of water is considered a lake when it is inland, not part of the ocean, is larger and deeper than a pond, and is fed by a river.",English,on earth a body of water is considered a lake when it is inland not part of the ocean is larger and deeper than a pond and is fed by a river
"[36][37] The only world other than Earth known to harbor lakes is Titan, Saturn's largest moon, which has lakes of ethane, most likely mixed with methane.",English,the only world other than earth known to harbor lakes is titan saturns largest moon which has lakes of ethane most likely mixed with methane
"It is not known if Titan's lakes are fed by rivers, though Titan's surface is carved by numerous river beds.",English,it is not known if titans lakes are fed by rivers though titans surface is carved by numerous river beds
"Natural lakes on Earth are generally found in mountainous areas, rift zones, and areas with ongoing or recent glaciation.",English,natural lakes on earth are generally found in mountainous areas rift zones and areas with ongoing or recent glaciation
Other lakes are found in endorheic basins or along the courses of mature rivers.,English,other lakes are found in endorheic basins or along the courses of mature rivers
"In some parts of the world, there are many lakes because of chaotic drainage patterns left over from the last Ice Age.",English,in some parts of the world there are many lakes because of chaotic drainage patterns left over from the last ice age
"All lakes are temporary over geologic time scales, as they will slowly fill in with sediments or spill out of the basin containing them.",English,all lakes are temporary over geologic time scales as they will slowly fill in with sediments or spill out of the basin containing them
"A pond is a body of standing water, either natural or man-made, that is usually smaller than a lake.",English,a pond is a body of standing water either natural or manmade that is usually smaller than a lake
"A wide variety of man-made bodies of water are classified as ponds, including water gardens designed for aesthetic ornamentation, fish ponds designed for commercial fish breeding, and solar ponds designed to store thermal energy.",English,a wide variety of manmade bodies of water are classified as ponds including water gardens designed for aesthetic ornamentation fish ponds designed for commercial fish breeding and solar ponds designed to store thermal energy
Ponds and lakes are distinguished from streams via current speed.,English,ponds and lakes are distinguished from streams via current speed
"While currents in streams are easily observed, ponds and lakes possess thermally driven micro-currents and moderate wind driven currents.",English,while currents in streams are easily observed ponds and lakes possess thermally driven microcurrents and moderate wind driven currents
"These features distinguish a pond from many other aquatic terrain features, such as stream pools and tide pools.",English,these features distinguish a pond from many other aquatic terrain features such as stream pools and tide pools
"A river is a natural watercourse,[38] usually freshwater, flowing towards an ocean, a lake, a sea or another river.",English,a river is a natural watercourse usually freshwater flowing towards an ocean a lake a sea or another river
"In a few cases, a river simply flows into the ground or dries up completely before reaching another body of water.",English,in a few cases a river simply flows into the ground or dries up completely before reaching another body of water
"Small rivers may also be called by several other names, including stream, creek, brook, rivulet, and rill; there is no general rule that defines what can be called a river.",English,small rivers may also be called by several other names including stream creek brook rivulet and rill there is no general rule that defines what can be called a river
Many names for small rivers are specific to geographic location; one example is Burn in Scotland and North-east England.,English,many names for small rivers are specific to geographic location one example is burn in scotland and northeast england
"Sometimes a river is said to be larger than a creek, but this is not always the case, due to vagueness in the language.",English,sometimes a river is said to be larger than a creek but this is not always the case due to vagueness in the language
[39] A river is part of the hydrological cycle.,English,a river is part of the hydrological cycle
"Water within a river is generally collected from precipitation through surface runoff, groundwater recharge, springs, and the release of stored water in natural ice and snowpacks (i.e., from glaciers).",English,water within a river is generally collected from precipitation through surface runoff groundwater recharge springs and the release of stored water in natural ice and snowpacks ie from glaciers
"A stream is a flowing body of water with a current, confined within a bed and stream banks.",English,a stream is a flowing body of water with a current confined within a bed and stream banks
"In the United States, a stream is classified as a watercourse less than 60 feet (18 metres) wide.",English,in the united states a stream is classified as a watercourse less than feet metres wide
"Streams are important as conduits in the water cycle, instruments in groundwater recharge, and they serve as corridors for fish and wildlife migration.",English,streams are important as conduits in the water cycle instruments in groundwater recharge and they serve as corridors for fish and wildlife migration
The biological habitat in the immediate vicinity of a stream is called a riparian zone.,English,the biological habitat in the immediate vicinity of a stream is called a riparian zone
"Given the status of the ongoing Holocene extinction, streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity.",English,given the status of the ongoing holocene extinction streams play an important corridor role in connecting fragmented habitats and thus in conserving biodiversity
"The study of streams and waterways in general involves many branches of inter-disciplinary natural science and engineering, including hydrology, fluvial geomorphology, aquatic ecology, fish biology, riparian ecology, and others.",English,the study of streams and waterways in general involves many branches of interdisciplinary natural science and engineering including hydrology fluvial geomorphology aquatic ecology fish biology riparian ecology and others
Ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way.,English,ecosystems are composed of a variety of biotic and abiotic components that function in an interrelated way
[41] The structure and composition is determined by various environmental factors that are interrelated.,English,the structure and composition is determined by various environmental factors that are interrelated
Variations of these factors will initiate dynamic modifications to the ecosystem.,English,variations of these factors will initiate dynamic modifications to the ecosystem
"Some of the more important components are soil, atmosphere, radiation from the sun, water, and living organisms.",English,some of the more important components are soil atmosphere radiation from the sun water and living organisms
Central to the ecosystem concept is the idea that living organisms interact with every other element in their local environment.,English,central to the ecosystem concept is the idea that living organisms interact with every other element in their local environment
"Eugene Odum, a founder of ecology, stated: ""Any unit that includes all of the organisms (ie: the ""community"") in a given area interacting with the physical environment so that a flow of energy leads to clearly defined trophic structure, biotic diversity, and material cycles (i.e.",English,eugene odum a founder of ecology stated any unit that includes all of the organisms ie the community in a given area interacting with the physical environment so that a flow of energy leads to clearly defined trophic structure biotic diversity and material cycles ie
: exchange of materials between living and nonliving parts) within the system is an ecosystem.,English,exchange of materials between living and nonliving parts within the system is an ecosystem
"""[42] Within the ecosystem, species are connected and dependent upon one another in the food chain, and exchange energy and matter between themselves as well as with their environment.",English,within the ecosystem species are connected and dependent upon one another in the food chain and exchange energy and matter between themselves as well as with their environment
"[43] The human ecosystem concept is based on the human/nature dichotomy and the idea that all species are ecologically dependent on each other, as well as with the abiotic constituents of their biotope.",English,the human ecosystem concept is based on the humannature dichotomy and the idea that all species are ecologically dependent on each other as well as with the abiotic constituents of their biotope
[44] A smaller unit of size is called a microecosystem.,English,a smaller unit of size is called a microecosystem
"For example, a microsystem can be a stone and all the life under it.",English,for example a microsystem can be a stone and all the life under it
"A macroecosystem might involve a whole ecoregion, with its drainage basin.",English,a macroecosystem might involve a whole ecoregion with its drainage basin
[45] Wilderness is generally defined as areas that have not been significantly modified by human activity.,English,wilderness is generally defined as areas that have not been significantly modified by human activity
"Wilderness areas can be found in preserves, estates, farms, conservation preserves, ranches, national forests, national parks, and even in urban areas along rivers, gulches, or otherwise undeveloped areas.",English,wilderness areas can be found in preserves estates farms conservation preserves ranches national forests national parks and even in urban areas along rivers gulches or otherwise undeveloped areas
"Wilderness areas and protected parks are considered important for the survival of certain species, ecological studies, conservation, and solitude.",English,wilderness areas and protected parks are considered important for the survival of certain species ecological studies conservation and solitude
"Some nature writers believe wilderness areas are vital for the human spirit and creativity,[46] and some ecologists consider wilderness areas to be an integral part of the Earth's self-sustaining natural ecosystem (the biosphere).",English,some nature writers believe wilderness areas are vital for the human spirit and creativity and some ecologists consider wilderness areas to be an integral part of the earths selfsustaining natural ecosystem the biosphere
"They may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos, arboretums, or laboratories.",English,they may also preserve historic genetic traits and that they provide habitat for wild flora and fauna that may be difficult or impossible to recreate in zoos arboretums or laboratories
"Although there is no universal agreement on the definition of life, scientists generally accept that the biological manifestation of life is characterized by organization, metabolism, growth, adaptation, response to stimuli, and reproduction.",English,although there is no universal agreement on the definition of life scientists generally accept that the biological manifestation of life is characterized by organization metabolism growth adaptation response to stimuli and reproduction
[47] Life may also be said to be simply the characteristic state of organisms.,English,life may also be said to be simply the characteristic state of organisms
"Properties common to terrestrial organisms (plants, animals, fungi, protists, archaea, and bacteria) are that they are cellular, carbon-and-water-based with complex organization, having a metabolism, a capacity to grow, respond to stimuli, and reproduce.",English,properties common to terrestrial organisms plants animals fungi protists archaea and bacteria are that they are cellular carbonandwaterbased with complex organization having a metabolism a capacity to grow respond to stimuli and reproduce
An entity with these properties is generally considered life.,English,an entity with these properties is generally considered life
"However, not every definition of life considers all of these properties to be essential.",English,however not every definition of life considers all of these properties to be essential
Human-made analogs of life may also be considered to be life.,English,humanmade analogs of life may also be considered to be life
"The biosphere is the part of Earth's outer shell—including land, surface rocks, water, air and the atmosphere—within which life occurs, and which biotic processes in turn alter or transform.",English,the biosphere is the part of earths outer shellincluding land surface rocks water air and the atmospherewithin which life occurs and which biotic processes in turn alter or transform
"From the broadest geophysiological point of view, the biosphere is the global ecological system integrating all living beings and their relationships, including their interaction with the elements of the lithosphere (rocks), hydrosphere (water), and atmosphere (air).",English,from the broadest geophysiological point of view the biosphere is the global ecological system integrating all living beings and their relationships including their interaction with the elements of the lithosphere rocks hydrosphere water and atmosphere air
"The entire Earth contains over 75 billion tons (150 trillion pounds or about 6.8×1013 kilograms) of biomass (life), which lives within various environments within the biosphere.",English,the entire earth contains over billion tons trillion pounds or about kilograms of biomass life which lives within various environments within the biosphere
"[48] Over nine-tenths of the total biomass on Earth is plant life, on which animal life depends very heavily for its existence.",English,over ninetenths of the total biomass on earth is plant life on which animal life depends very heavily for its existence
"[49] More than 2 million species of plant and animal life have been identified to date,[50] and estimates of the actual number of existing species range from several million to well over 50 million.",English,more than million species of plant and animal life have been identified to date and estimates of the actual number of existing species range from several million to well over million
"[51][52][53] The number of individual species of life is constantly in some degree of flux, with new species appearing and others ceasing to exist on a continual basis.",English,the number of individual species of life is constantly in some degree of flux with new species appearing and others ceasing to exist on a continual basis
[54][55] The total number of species is in rapid decline.,English,the total number of species is in rapid decline
"[56][57][58] The origin of life on Earth is not well understood, but it is known to have occurred at least 3.5 billion years ago,[61][62][63] during the hadean or archean eons on a primordial Earth that had a substantially different environment than is found at present.",English,the origin of life on earth is not well understood but it is known to have occurred at least billion years ago during the hadean or archean eons on a primordial earth that had a substantially different environment than is found at present
